state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Arkansas,5043,Drew County,4349,2426,6908,1923,0.6295599305153450,0.3511870295309790,0.27837290098436600
Arkansas,5045,Faulkner County,34421,18347,54428,16074,0.6324134636584110,0.3370875284779890,0.29532593518042200
Arkansas,5047,Franklin County,5677,1300,7129,4377,0.7963248702482820,0.18235376630663500,0.6139711039416470
Arkansas,5049,Fulton County,3961,1035,5119,2926,0.7737839421762060,0.20218792732955700,0.5715960148466500
Arkansas,5051,Garland County,29069,14045,44199,15024,0.6576845629991630,0.3177673703024960,0.33991719269666700
Arkansas,5053,Grant County,6794,1268,8200,5526,0.8285365853658540,0.1546341463414630,0.6739024390243900
Arkansas,5055,Greene County,12670,3058,16100,9612,0.7869565217391300,0.18993788819875800,0.5970186335403730
Arkansas,5057,Hempstead County,4470,2138,6848,2332,0.6527453271028040,0.31220794392523400,0.3405373831775700
Arkansas,5059,Hot Spring County,9202,3082,12557,6120,0.7328183483316080,0.2454407899976110,0.487377558333997
Arkansas,5061,Howard County,3367,1340,4834,2027,0.6965246172941660,0.2772031443938770,0.41932147290029000
Arkansas,5063,Independence County,11250,2806,14512,8444,0.7752205071664830,0.1933572216097020,0.5818632855567810
Arkansas,5065,Izard County,4631,1021,5810,3610,0.7970740103270220,0.1757314974182440,0.621342512908778
Arkansas,5067,Jackson County,3593,1365,5091,2228,0.7057552543704580,0.26812021213906900,0.43763504223138900
Arkansas,5069,Jefferson County,9521,14981,25158,-5460,0.37844820732967600,0.5954765879640670,-0.21702838063439100
Arkansas,5071,Johnson County,6938,2283,9498,4655,0.7304695725415880,0.24036639292482600,0.4901031796167610
Arkansas,5073,Lafayette County,1757,839,2679,918,0.6558417319895480,0.3131765584173200,0.3426651735722280
Arkansas,5075,Lawrence County,4569,1080,5857,3489,0.7800921973706680,0.18439474133515500,0.595697456035513
Arkansas,5077,Lee County,1286,1423,2848,-137,0.4515449438202250,0.4996488764044940,-0.048103932584269700
Arkansas,5079,Lincoln County,2729,1032,3875,1697,0.704258064516129,0.2663225806451610,0.43793548387096800
Arkansas,5081,Little River County,3715,1226,5177,2489,0.7175970639366430,0.2368166892022410,0.4807803747344020
Arkansas,5083,Logan County,6441,1544,8225,4897,0.7831003039513680,0.18772036474164100,0.5953799392097260
Arkansas,5085,Lonoke County,22884,6686,30662,16198,0.7463309634074750,0.21805492140108300,0.5282760420063920
Arkansas,5087,Madison County,5658,1563,7351,4095,0.7696911984763980,0.21262413277105200,0.5570670657053460
Arkansas,5089,Marion County,5783,1531,7503,4252,0.7707583633213380,0.20405171264827400,0.5667066506730640
Arkansas,5091,Miller County,11920,4245,16529,7675,0.7211567547946030,0.25682134430395100,0.46433541049065300
Arkansas,5093,Mississippi County,7296,4558,12342,2738,0.5911521633446770,0.3693080538000320,0.22184410954464400
Arkansas,5095,Monroe County,1545,1147,2816,398,0.5486505681818180,0.4073153409090910,0.14133522727272700
Arkansas,5097,Montgomery County,3046,731,3873,2315,0.7864704363542470,0.1887425768138390,0.597727859540408
Arkansas,5099,Nevada County,2133,1076,3358,1057,0.6351995235259080,0.32042882668254900,0.3147706968433590
Arkansas,5101,Newton County,3192,709,3998,2483,0.7983991995998000,0.17733866933466700,0.6210605302651330
Arkansas,5103,Ouachita County,5294,3995,9629,1299,0.5497974867587500,0.41489251220272100,0.13490497455602900
Arkansas,5105,Perry County,3479,1012,4627,2467,0.7518910741301060,0.21871623081910500,0.5331748433110010
Arkansas,5107,Phillips County,2417,3623,6242,-1206,0.38721563601409800,0.5804229413649470,-0.19320730535084900
Arkansas,5109,Pike County,3519,644,4246,2875,0.8287800282618940,0.15167216203485600,0.6771078662270370
Arkansas,5111,Poinsett County,5918,1424,7521,4494,0.7868634490094400,0.18933652439835100,0.597526924611089
Arkansas,5113,Polk County,7035,1246,8490,5789,0.8286219081272090,0.14676089517078900,0.6818610129564190
Arkansas,5115,Pope County,18081,5772,24432,12309,0.7400540275049120,0.2362475442043220,0.5038064833005890
Arkansas,5117,Prairie County,2786,654,3495,2132,0.7971387696709590,0.1871244635193130,0.6100143061516450
Arkansas,5119,Pulaski County,63687,101947,169956,-38260,0.3747263997740590,0.5998434889030100,-0.225117089128951
Arkansas,5121,Randolph County,5355,1215,6812,4140,0.7861127422196130,0.1783617146212570,0.6077510275983560
Arkansas,5123,St. Francis County,3242,3604,7108,-362,0.45610579628587500,0.5070343275182890,-0.0509285312324142
Arkansas,5125,Saline County,39556,16060,56959,23496,0.6944644393335560,0.28195719728225600,0.41250724205130000
Arkansas,5127,Scott County,2962,483,3551,2479,0.8341312306392570,0.13601802309208700,0.6981132075471700
Arkansas,5129,Searcy County,3365,588,4019,2777,0.8372729534710130,0.14630505100771300,0.6909679024632990
Arkansas,5131,Sebastian County,31198,14487,47140,16711,0.6618158676283410,0.3073186253712350,0.3544972422571070
Arkansas,5133,Sevier County,3884,1116,5202,2768,0.746635909265667,0.21453287197231800,0.5321030372933490
Arkansas,5135,Sharp County,5938,1398,7566,4540,0.7848268569918050,0.18477398889770000,0.6000528680941050
Arkansas,5137,Stone County,4616,1180,5938,3436,0.7773661165375550,0.19872010778039700,0.5786460087571570
Arkansas,5139,Union County,10478,5584,16607,4894,0.6309387607635340,0.33624375263443100,0.29469500812910200
Arkansas,5141,Van Buren County,6034,1593,7807,4441,0.7728961188676830,0.20404764954528000,0.568848469322403
Arkansas,5143,Washington County,47504,43824,94266,3680,0.5039356713979590,0.46489720577939000,0.03903846561856870
Arkansas,5145,White County,24182,5978,30885,18204,0.7829690788408610,0.19355674275538300,0.5894123360854780
Arkansas,5147,Woodruff County,1543,856,2476,687,0.6231825525040390,0.345718901453958,0.27746365105008100
Arkansas,5149,Yell County,5226,1284,6741,3942,0.7752558967512240,0.19047619047619000,0.5847797062750330
California,6001,Alameda County,136309,617659,769864,-481350,0.1770559475439820,0.8022962497272250,-0.6252403021832430
California,6003,Alpine County,244,476,741,-232,0.3292847503373820,0.6423751686909580,-0.3130904183535760
California,6005,Amador County,13585,8153,22302,5432,0.6091381938839570,0.3655725943861540,0.24356559949780300
California,6007,Butte County,48730,50426,102042,-1696,0.4775484604378590,0.4941690676388150,-0.016620607200956500
California,6009,Calaveras County,16518,10046,27164,6472,0.6080842291267860,0.36982771314975700,0.23825651597702800
California,6011,Colusa County,4554,3234,7951,1320,0.5727581436297320,0.4067412904037230,0.1660168532260090
California,6013,Contra Costa County,152877,416386,581230,-263509,0.2630232438105400,0.716387660650689,-0.45336441684014900
California,6015,Del Norte County,6461,4677,11452,1784,0.5641809290953550,0.4084002794271740,0.15578064966818000
California,6017,El Dorado County,61838,51621,116138,10217,0.5324527717026300,0.44447984294546100,0.08797292875716820
California,6019,Fresno County,164464,193025,364809,-28561,0.45082221107483600,0.5291124944834150,-0.07829028340857810
California,6021,Glenn County,7063,3995,11292,3068,0.625487070492384,0.35379029401346100,0.2716967764789230
California,6023,Humboldt County,21770,44768,68828,-22998,0.3162956936130650,0.6504329633288780,-0.3341372697158130
California,6025,Imperial County,20847,34678,56718,-13831,0.3675552734581610,0.6114108395923690,-0.2438555661342080
California,6027,Inyo County,4620,4634,9481,-14,0.4872903702141120,0.48876700769961000,-0.0014766374854973100
California,6029,Kern County,164484,133366,305226,31118,0.5388924927758450,0.4369418070544450,0.10195068572140000
California,6031,Kings County,24072,18699,43858,5373,0.5488622372201200,0.42635323088148100,0.12250900633863800
California,6033,Lake County,13123,14941,28800,-1818,0.45565972222222200,0.5187847222222220,-0.06312500000000000
California,6035,Lassen County,8970,2799,11985,6171,0.7484355444305380,0.23354192740926200,0.5148936170212770
California,6037,Los Angeles County,1145530,3028885,4263443,-1883355,0.2686865990702820,0.7104316863154970,-0.4417450872452150
California,6039,Madera County,29378,23168,53722,6210,0.5468523137634490,0.4312572130598270,0.11559510070362200
California,6041,Marin County,24612,128288,155801,-103676,0.15797074473206200,0.8234093491055900,-0.6654386043735280
California,6043,Mariposa County,5950,4088,10280,1862,0.5787937743190660,0.3976653696498050,0.18112840466926100
California,6045,Mendocino County,13267,28782,43336,-15515,0.30614269891083600,0.664159128669005,-0.3580164297581690
California,6047,Merced County,39397,48991,90541,-9594,0.43512883665963500,0.5410918810262750,-0.1059630443666410
California,6049,Modoc County,3109,1150,4338,1959,0.7166897187644080,0.26509912402028600,0.4515905947441220
California,6051,Mono County,2513,4013,6737,-1500,0.3730146949680870,0.5956657265845330,-0.2226510316164470
California,6053,Monterey County,46299,113953,163883,-67654,0.2825125241788350,0.6953314254681690,-0.4128189012893350
California,6055,Napa County,20676,49817,72122,-29141,0.2866809018052740,0.6907323701505780,-0.4040514683453040
California,6057,Nevada County,26779,36359,64738,-9580,0.4136519509407150,0.5616330439618150,-0.14798109302110000
California,6059,Orange County,676498,814009,1521725,-137511,0.4445599566281690,0.5349251671622670,-0.09036521053409770
California,6061,Placer County,122488,106869,235017,15619,0.5211878289655640,0.45472880685227000,0.06645902211329390
California,6063,Plumas County,6445,4561,11256,1884,0.5725835110163470,0.40520611229566500,0.1673773987206820
California,6065,Riverside County,448702,527945,996156,-79243,0.45043346624424300,0.5299822517758260,-0.0795487855315834
California,6067,Sacramento County,259405,440808,718290,-181403,0.3611424355065500,0.6136908490999460,-0.25254841359339500
California,6069,San Benito County,10590,17628,28821,-7038,0.36744040803580700,0.6116373477672530,-0.24419693973144600
California,6071,San Bernardino County,366257,455859,840931,-89602,0.4355375173468450,0.5420884709922690,-0.106550953645424
California,6073,San Diego County,600094,964650,1601722,-364556,0.374655526989078,0.6022580697524290,-0.2276025427633510
California,6075,San Francisco County,56417,378156,443458,-321739,0.1272206161575620,0.8527436645634990,-0.725523048405937
California,6077,San Joaquin County,121098,161137,288443,-40039,0.419833381291971,0.5586441688652520,-0.13881078757328100
California,6079,San Luis Obispo County,67436,88310,159681,-20874,0.4223169945078000,0.5530401237467200,-0.13072312923892000
California,6081,San Mateo County,75563,291410,374138,-215847,0.20196558489113600,0.7788837273947050,-0.5769181425035680
California,6083,Santa Barbara County,65736,129963,200288,-64227,0.328207381370826,0.6488806119188370,-0.32067323054801100
California,6085,Santa Clara County,214612,617967,850522,-403355,0.2523297457326210,0.7265737982086300,-0.47424405247600900
California,6087,Santa Cruz County,26937,114246,144796,-87309,0.18603414458963000,0.7890135086604600,-0.6029793640708310
California,6089,Shasta County,60789,30000,92900,30789,0.6543487621097960,0.32292787944025800,0.3314208826695370
California,6091,Sierra County,1142,730,1930,412,0.5917098445595860,0.37823834196891200,0.2134715025906740
California,6093,Siskiyou County,13290,9593,23450,3697,0.5667377398720680,0.40908315565032000,0.15765458422174800
California,6095,Solano County,69306,131639,205831,-62333,0.3367131287318240,0.6395489503524740,-0.3028358216206500
California,6097,Sonoma County,61825,199938,268252,-138113,0.23047358453991000,0.7453364746581570,-0.514862890118247
California,6099,Stanislaus County,104145,105841,214876,-1696,0.4846748822576740,0.4925678065488930,-0.007892924291219130
California,6101,Sutter County,24375,17367,42640,7008,0.5716463414634150,0.4072936210131330,0.16435272045028100
California,6103,Tehama County,19141,8911,28721,10230,0.6664461543818110,0.3102607847916160,0.3561853695901950
California,6105,Trinity County,3188,2851,6258,337,0.5094279322467240,0.45557686161713000,0.053851070629594200
California,6107,Tulare County,77579,66105,146832,11474,0.5283521303258150,0.45020840143837900,0.07814372888743600
California,6109,Tuolumne County,17689,11978,30401,5711,0.5818558600046050,0.39400019736192900,0.18785566264267600
California,6111,Ventura County,162207,251388,422698,-89181,0.3837420569768490,0.5947224732551370,-0.21098041627828900
California,6113,Yolo County,27292,67598,97264,-40306,0.2805971376871200,0.6949950649777920,-0.4143979272906730
California,6115,Yuba County,17676,11230,29787,6446,0.593413233961124,0.37701010507939700,0.21640312888172700
Colorado,8001,Adams County,95657,134202,236735,-38545,0.40406783956744900,0.5668870255771220,-0.16281918600967300
Colorado,8003,Alamosa County,3813,3759,7808,54,0.4883452868852460,0.48142930327868900,0.006915983606557370
Colorado,8005,Arapahoe County,127323,213607,350183,-86284,0.36358989442662800,0.60998677834161,-0.2463968839149820
Colorado,8007,Archuleta County,5189,3738,9144,1451,0.5674759405074370,0.40879265091863500,0.1586832895888010
Colorado,8009,Baca County,1867,317,2225,1550,0.8391011235955060,0.14247191011236000,0.696629213483146
Colorado,8011,Bent County,1503,732,2274,771,0.6609498680738790,0.32189973614775700,0.33905013192612100
Colorado,8013,Boulder County,42501,159089,206111,-116588,0.20620442382987800,0.7718607934559530,-0.5656563696260750
